source_ID,source_name,source_type,mapping_type,target_ID,target_name,target_type,mapping_description
M1031,Network Intrusion Prevention,Mitigation,MITIGATES,T1542.005,TFTP Boot,Technique,"Network intrusion detection and prevention systems that use network signatures to identify traffic for specific protocols, such as TFTP, can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific technique used by a particular adversary or tool, and will likely be different across various network configurations. "
M1031,Network Intrusion Prevention,Mitigation,MITIGATES,T1221,Template Injection,Technique,"Network/Host intrusion prevention systems, antivirus, and detonation chambers can be employed to prevent documents from fetching and/or executing malicious payloads.(Citation: Anomali Template Injection MAR 2018)"
M1031,Network Intrusion Prevention,Mitigation,MITIGATES,T1204,User Execution,Technique,"If a link is being visited by a user, network intrusion prevention systems and systems designed to scan and remove malicious downloads can be used to block activity."
M1031,Network Intrusion Prevention,Mitigation,MITIGATES,T1071.001,Web Protocols,Technique,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. 
M1031,Network Intrusion Prevention,Mitigation,MITIGATES,T1102,Web Service,Technique,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.
M1030,Network Segmentation,Mitigation,MITIGATES,T1098,Account Manipulation,Technique,Configure access controls and firewalls to limit access to critical systems and domain controllers. Most cloud environments support separate virtual private cloud (VPC) instances that enable further segmentation of cloud systems.
M1030,Network Segmentation,Mitigation,MITIGATES,T1098.001,Additional Cloud Credentials,Technique,Configure access controls and firewalls to limit access to critical systems and domain controllers. Most cloud environments support separate virtual private cloud (VPC) instances that enable further segmentation of cloud systems.
M1030,Network Segmentation,Mitigation,MITIGATES,T1612,Build Image on Host,Technique,"Deny direct remote access to internal systems through the use of network proxies, gateways, and firewalls."
M1030,Network Segmentation,Mitigation,MITIGATES,T1136.003,Cloud Account,Technique,Configure access controls and firewalls to limit access to critical systems and domain controllers. Most cloud environments support separate virtual private cloud (VPC) instances that enable further segmentation of cloud systems.
M1030,Network Segmentation,Mitigation,MITIGATES,T1552.007,Container API,Technique,"Deny direct remote access to internal systems through the use of network proxies, gateways, and firewalls."
M1030,Network Segmentation,Mitigation,MITIGATES,T1613,Container and Resource Discovery,Technique,"Deny direct remote access to internal systems through the use of network proxies, gateways, and firewalls."
M1030,Network Segmentation,Mitigation,MITIGATES,T1136,Create Account,Technique,Configure access controls and firewalls to limit access to domain controllers and systems used to create and manage accounts.
M1030,Network Segmentation,Mitigation,MITIGATES,T1565,Data Manipulation,Technique,Identify critical business and system processes that may be targeted by adversaries and work to isolate and secure those systems against unauthorized access and tampering.
M1030,Network Segmentation,Mitigation,MITIGATES,T1602,Data from Configuration Repository,Technique,Segregate SNMP traffic on a separate management network.(Citation: US-CERT TA17-156A SNMP Abuse 2017)
M1030,Network Segmentation,Mitigation,MITIGATES,T1610,Deploy Container,Technique,"Deny direct remote access to internal systems through the use of network proxies, gateways, and firewalls."
M1030,Network Segmentation,Mitigation,MITIGATES,T1021.003,Distributed Component Object Model,Technique,"Enable Windows firewall, which prevents DCOM instantiation by default."
M1030,Network Segmentation,Mitigation,MITIGATES,T1136.002,Domain Account,Technique,Configure access controls and firewalls to limit access to domain controllers and systems used to create and manage accounts.
M1030,Network Segmentation,Mitigation,MITIGATES,T1482,Domain Trust Discovery,Technique,Employ network segmentation for sensitive domains.(Citation: Harmj0y Domain Trusts).
M1030,Network Segmentation,Mitigation,MITIGATES,T1048,Exfiltration Over Alternative Protocol,Technique,Follow best practices for network firewall configurations to allow only necessary ports and traffic to enter and exit the network.(Citation: TechNet Firewall Design)
M1030,Network Segmentation,Mitigation,MITIGATES,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Technique,Follow best practices for network firewall configurations to allow only necessary ports and traffic to enter and exit the network.(Citation: TechNet Firewall Design)
M1030,Network Segmentation,Mitigation,MITIGATES,T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,Technique,Follow best practices for network firewall configurations to allow only necessary ports and traffic to enter and exit the network.(Citation: TechNet Firewall Design)
M1030,Network Segmentation,Mitigation,MITIGATES,T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,Technique,Follow best practices for network firewall configurations to allow only necessary ports and traffic to enter and exit the network.(Citation: TechNet Firewall Design)
M1030,Network Segmentation,Mitigation,MITIGATES,T1190,Exploit Public-Facing Application,Technique,Segment externally facing servers and services from the rest of the network with a DMZ or on separate hosting infrastructure.
M1030,Network Segmentation,Mitigation,MITIGATES,T1210,Exploitation of Remote Services,Technique,Segment networks and systems appropriately to reduce access to critical systems and services to controlled methods.
M1030,Network Segmentation,Mitigation,MITIGATES,T1133,External Remote Services,Technique,"Deny direct remote access to internal systems through the use of network proxies, gateways, and firewalls."
M1030,Network Segmentation,Mitigation,MITIGATES,T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,Technique,"Network segmentation can be used to isolate infrastructure components that do not require broad network access. This may mitigate, or at least alleviate, the scope of MiTM activity."
M1030,Network Segmentation,Mitigation,MITIGATES,T1557,Man-in-the-Middle,Technique,"Network segmentation can be used to isolate infrastructure components that do not require broad network access. This may mitigate, or at least alleviate, the scope of MiTM activity."
M1030,Network Segmentation,Mitigation,MITIGATES,T1602.002,Network Device Configuration Dump,Technique,Segregate SNMP traffic on a separate management network (Citation: US-CERT TA17-156A SNMP Abuse 2017) 
M1030,Network Segmentation,Mitigation,MITIGATES,T1046,Network Service Scanning,Technique,Ensure proper network segmentation is followed to protect critical servers and devices.
M1030,Network Segmentation,Mitigation,MITIGATES,T1095,Non-Application Layer Protocol,Technique,Properly configure firewalls and proxies to limit outgoing traffic to only necessary ports and through proper network gateway systems. Also ensure hosts are only provisioned to communicate over authorized interfaces.
M1030,Network Segmentation,Mitigation,MITIGATES,T1571,Non-Standard Port,Technique,Properly configure firewalls and proxies to limit outgoing traffic to only necessary ports for that particular network segment.
M1030,Network Segmentation,Mitigation,MITIGATES,T1563.002,RDP Hijacking,Technique,Enable firewall rules to block RDP traffic between network security zones within a network.
M1030,Network Segmentation,Mitigation,MITIGATES,T1021.001,Remote Desktop Protocol,Technique,Do not leave RDP accessible from the internet. Enable firewall rules to block RDP traffic between network security zones within a network.
M1030,Network Segmentation,Mitigation,MITIGATES,T1563,Remote Service Session Hijacking,Technique,Enable firewall rules to block unnecessary traffic between network security zones within a network.
M1030,Network Segmentation,Mitigation,MITIGATES,T1565.003,Runtime Data Manipulation,Technique,Identify critical business and system processes that may be targeted by adversaries and work to isolate and secure those systems against unauthorized access and tampering.
M1030,Network Segmentation,Mitigation,MITIGATES,T1602.001,SNMP (MIB Dump),Technique,Segregate SNMP traffic on a separate management network.(Citation: US-CERT TA17-156A SNMP Abuse 2017)
M1030,Network Segmentation,Mitigation,MITIGATES,T1489,Service Stop,Technique,"Operate intrusion detection, analysis, and response systems on a separate network from the production environment to lessen the chances that an adversary can see and interfere with critical response functions."
M1030,Network Segmentation,Mitigation,MITIGATES,T1072,Software Deployment Tools,Technique,Ensure proper system isolation for critical network systems through use of firewalls.
M1030,Network Segmentation,Mitigation,MITIGATES,T1199,Trusted Relationship,Technique,Network segmentation can be used to isolate infrastructure components that do not require broad network access.
M1030,Network Segmentation,Mitigation,MITIGATES,T1021.006,Windows Remote Management,Technique,"If the service is necessary, lock down critical enclaves with separate WinRM infrastructure and follow WinRM best practices on use of host firewalls to restrict WinRM access to allow communication only to/from specific devices.(Citation: NSA Spotting)"
M1028,Operating System Configuration,Mitigation,MITIGATES,T1548,Abuse Elevation Control Mechanism,Technique,"Applications with known vulnerabilities or known shell escapes should not have the setuid or setgid bits set to reduce potential damage if an application is compromised. Additionally, the number of programs with setuid or setgid bits set should be minimized across a system. Ensuring that the sudo tty_tickets setting is enabled will prevent this leakage across tty sessions."
M1028,Operating System Configuration,Mitigation,MITIGATES,T1546.008,Accessibility Features,Technique,"To use this technique remotely, an adversary must use it in conjunction with RDP. Ensure that Network Level Authentication is enabled to force the remote desktop session to authenticate before the session is created and the login screen displayed. It is enabled by default on Windows Vista and later.(Citation: TechNet RDP NLA)"
M1028,Operating System Configuration,Mitigation,MITIGATES,T1087,Account Discovery,Technique,Prevent administrator accounts from being enumerated when an application is elevating through UAC since it can lead to the disclosure of account names. The Registry key is located <code>HKLM\ SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\CredUI\EnumerateAdministrators</code>. It can be disabled through GPO: Computer Configuration > [Policies] > Administrative Templates > Windows Components > Credential User Interface: E numerate administrator accounts on elevation. (Citation: UCF STIG Elevation Account Enumeration)
M1028,Operating System Configuration,Mitigation,MITIGATES,T1098,Account Manipulation,Technique,"Protect domain controllers by ensuring proper security configuration for critical servers to limit access by potentially unnecessary protocols and services, such as SMB file sharing."
M1028,Operating System Configuration,Mitigation,MITIGATES,T1053.002,At (Windows),Technique,"Configure settings for scheduled tasks to force tasks to run under the context of the authenticated account instead of allowing them to run as SYSTEM. The associated Registry key is located at <code>HKLM\SYSTEM\CurrentControlSet\Control\Lsa\SubmitControl</code>. The setting can be configured through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > Security Options: Domain Controller: Allow server operators to schedule tasks, set to disabled. (Citation: TechNet Server Operator Scheduled Task) "
M1028,Operating System Configuration,Mitigation,MITIGATES,T1197,BITS Jobs,Technique,"
Consider reducing the default BITS job lifetime in Group Policy or by editing the <code>JobInactivityTimeout</code> and <code>MaxDownloadTime</code> Registry values in <code> HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\BITS</code>.(Citation: Microsoft BITS)"
M1028,Operating System Configuration,Mitigation,MITIGATES,T1552.003,Bash History,Technique,"There are multiple methods of preventing a user's command history from being flushed to their .bash_history file, including use of the following commands:
<code>set +o history</code> and <code>set -o history</code> to start logging again;
<code>unset HISTFILE</code> being added to a user's .bash_rc file; and
<code>ln -s /dev/null ~/.bash_history</code> to write commands to <code>/dev/null</code>instead."
M1028,Operating System Configuration,Mitigation,MITIGATES,T1003.005,Cached Domain Credentials,Technique,Consider limiting the number of cached credentials (HKLM\SOFTWARE\Microsoft\Windows NT\Current Version\Winlogon\cachedlogonscountvalue)(Citation: Tilbury Windows Credentials)
M1028,Operating System Configuration,Mitigation,MITIGATES,T1092,Communication Through Removable Media,Technique,Disallow or restrict removable media at an organizational policy level if they are not required for business operations.(Citation: TechNet Removable Media Control)
M1028,Operating System Configuration,Mitigation,MITIGATES,T1136,Create Account,Technique,Protect domain controllers by ensuring proper security configuration for critical servers.
M1028,Operating System Configuration,Mitigation,MITIGATES,T1136.002,Domain Account,Technique,Protect domain controllers by ensuring proper security configuration for critical servers.
M1028,Operating System Configuration,Mitigation,MITIGATES,T1087.002,Domain Account,Technique,Prevent administrator accounts from being enumerated when an application is elevating through UAC since it can lead to the disclosure of account names. The Registry key is located at <code>HKLM\ SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\CredUI\EnumerateAdministrators</code>. It can be disabled through GPO: Computer Configuration > [Policies] > Administrative Templates > Windows Components > Credential User Interface: Enumerate administrator accounts on elevation.(Citation: UCF STIG Elevation Account Enumeration)
M1028,Operating System Configuration,Mitigation,MITIGATES,T1574.006,Dynamic Linker Hijacking,Technique,"When System Integrity Protection (SIP) is enabled in macOS, the aforementioned environment variables are ignored when executing protected binaries. Third-party applications can also leverage Apple’s Hardened Runtime, ensuring these environment variables are subject to imposed restrictions.(Citation: Apple Developer Doco Hardened Runtime) Admins can add restrictions to applications by setting the setuid and/or setgid bits, use entitlements, or have a __RESTRICT segment in the Mach-O binary."
M1028,Operating System Configuration,Mitigation,MITIGATES,T1011.001,Exfiltration Over Bluetooth,Technique,Prevent the creation of new network adapters where possible.
M1028,Operating System Configuration,Mitigation,MITIGATES,T1011,Exfiltration Over Other Network Medium,Technique,Prevent the creation of new network adapters where possible.(Citation: Microsoft GPO Bluetooth FEB 2009) (Citation: TechRepublic Wireless GPO FEB 2009)
M1028,Operating System Configuration,Mitigation,MITIGATES,T1564.002,Hidden Users,Technique,"If the computer is domain joined, then group policy can help restrict the ability to create or hide users. Similarly, preventing the modification of the <code>/Library/Preferences/com.apple.loginwindow</code> <code>Hide500Users</code> value will force all users to be visible."
M1028,Operating System Configuration,Mitigation,MITIGATES,T1562.003,Impair Command History Logging,Technique,Make sure that the <code>HISTCONTROL</code> environment variable is set to “ignoredups” instead of “ignoreboth” or “ignorespace”.
M1028,Operating System Configuration,Mitigation,MITIGATES,T1490,Inhibit System Recovery,Technique,Consider technical controls to prevent the disabling of services or deletion of files involved in system recovery. 
M1028,Operating System Configuration,Mitigation,MITIGATES,T1553.004,Install Root Certificate,Technique,Windows Group Policy can be used to manage root certificates and the <code>Flags</code> value of <code>HKLM\\SOFTWARE\\Policies\\Microsoft\\SystemCertificates\\Root\\ProtectedRoots</code> can be set to 1 to prevent non-administrator users from making further root installations into their own HKCU certificate store. (Citation: SpectorOps Code Signing Dec 2017)
M1028,Operating System Configuration,Mitigation,MITIGATES,T1003.001,LSASS Memory,Technique,Consider disabling or restricting NTLM.(Citation: Microsoft Disable NTLM Nov 2012) Consider disabling WDigest authentication.(Citation: Microsoft WDigest Mit)
M1028,Operating System Configuration,Mitigation,MITIGATES,T1087.001,Local Account,Technique,Prevent administrator accounts from being enumerated when an application is elevating through UAC since it can lead to the disclosure of account names. The Registry key is located at <code>HKLM\ SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\CredUI\EnumerateAdministrators</code>. It can be disabled through GPO: Computer Configuration > [Policies] > Administrative Templates > Windows Components > Credential User Interface: Enumerate administrator accounts on elevation.(Citation: UCF STIG Elevation Account Enumeration)
M1028,Operating System Configuration,Mitigation,MITIGATES,T1556,Modify Authentication Process,Technique,Ensure only valid password filters are registered. Filter DLLs must be present in Windows installation directory (C:\Windows\System32\ by default) of a domain controller and/or local computer with a corresponding entry in HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\Notification Packages. 
M1028,Operating System Configuration,Mitigation,MITIGATES,T1135,Network Share Discovery,Technique,Enable Windows Group Policy “Do Not Allow Anonymous Enumeration of SAM Accounts and Shares” security setting to limit users who can enumerate network shares.(Citation: Windows Anonymous Enumeration of SAM Accounts)
M1028,Operating System Configuration,Mitigation,MITIGATES,T1003,OS Credential Dumping,Technique,"
Consider disabling or restricting NTLM.(Citation: Microsoft Disable NTLM Nov 2012) Consider disabling WDigest authentication.(Citation: Microsoft WDigest Mit)"
M1028,Operating System Configuration,Mitigation,MITIGATES,T1556.002,Password Filter DLL,Technique,Ensure only valid password filters are registered. Filter DLLs must be present in Windows installation directory (C:\Windows\System32\ by default) of a domain controller and/or local computer with a corresponding entry in HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\Notification Packages.
M1028,Operating System Configuration,Mitigation,MITIGATES,T1563.002,RDP Hijacking,Technique,Change GPOs to define shorter timeouts sessions and maximum amount of time any single session can be active. Change GPOs to specify the maximum amount of time that a disconnected session stays active on the RD session host server.(Citation: Windows RDP Sessions)
M1028,Operating System Configuration,Mitigation,MITIGATES,T1021.001,Remote Desktop Protocol,Technique,Change GPOs to define shorter timeouts sessions and maximum amount of time any single session can be active. Change GPOs to specify the maximum amount of time that a disconnected session stays active on the RD session host server.(Citation: Windows RDP Sessions)
M1028,Operating System Configuration,Mitigation,MITIGATES,T1053.005,Scheduled Task,Technique,"Configure settings for scheduled tasks to force tasks to run under the context of the authenticated account instead of allowing them to run as SYSTEM. The associated Registry key is located at HKLM\SYSTEM\CurrentControlSet\Control\Lsa\SubmitControl. The setting can be configured through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > Security Options: Domain Controller: Allow server operators to schedule tasks, set to disabled. (Citation: TechNet Server Operator Scheduled Task)"
M1028,Operating System Configuration,Mitigation,MITIGATES,T1053,Scheduled Task/Job,Technique,"Configure settings for scheduled tasks to force tasks to run under the context of the authenticated account instead of allowing them to run as SYSTEM. The associated Registry key is located at <code>HKLM\SYSTEM\CurrentControlSet\Control\Lsa\SubmitControl</code>. The setting can be configured through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > Security Options: Domain Controller: Allow server operators to schedule tasks, set to disabled. (Citation: TechNet Server Operator Scheduled Task)"
M1028,Operating System Configuration,Mitigation,MITIGATES,T1003.002,Security Account Manager,Technique,Consider disabling or restricting NTLM.(Citation: Microsoft Disable NTLM Nov 2012)
M1028,Operating System Configuration,Mitigation,MITIGATES,T1548.001,Setuid and Setgid,Technique,"Applications with known vulnerabilities or known shell escapes should not have the setuid or setgid bits set to reduce potential damage if an application is compromised. Additionally, the number of programs with setuid or setgid bits set should be minimized across a system."
M1028,Operating System Configuration,Mitigation,MITIGATES,T1553,Subvert Trust Controls,Technique,Windows Group Policy can be used to manage root certificates and the <code>Flags</code> value of <code>HKLM\\SOFTWARE\\Policies\\Microsoft\\SystemCertificates\\Root\\ProtectedRoots</code> can be set to 1 to prevent non-administrator users from making further root installations into their own HKCU certificate store. (Citation: SpectorOps Code Signing Dec 2017)
M1028,Operating System Configuration,Mitigation,MITIGATES,T1548.003,Sudo and Sudo Caching,Technique,Ensuring that the <code>tty_tickets</code> setting is enabled will prevent this leakage across tty sessions.
M1028,Operating System Configuration,Mitigation,MITIGATES,T1542.005,TFTP Boot,Technique,"Follow vendor device hardening best practices to disable unnecessary and unused features and services, avoid using default configurations and passwords, and introduce logging and auditing for detection."
M1028,Operating System Configuration,Mitigation,MITIGATES,T1552,Unsecured Credentials,Technique,"There are multiple methods of preventing a user's command history from being flushed to their .bash_history file, including use of the following commands:
<code>set +o history</code> and <code>set -o history</code> to start logging again;
<code>unset HISTFILE</code> being added to a user's .bash_rc file; and
<code>ln -s /dev/null ~/.bash_history</code> to write commands to <code>/dev/null</code>instead."
M1027,Password Policies,Mitigation,MITIGATES,T1003.008,/etc/passwd and /etc/shadow,Technique,"Ensure that root accounts have complex, unique passwords across all systems on the network."
M1027,Password Policies,Mitigation,MITIGATES,T1558.004,AS-REP Roasting,Technique,Ensure strong password length (ideally 25+ characters) and complexity for service accounts and that these passwords periodically expire. Also consider using Group Managed Service Accounts or another third party product such as password vaulting. (Citation: AdSecurity Cracking Kerberos Dec 2015)
M1027,Password Policies,Mitigation,MITIGATES,T1110,Brute Force,Technique,Refer to NIST guidelines when creating password policies.(Citation: NIST 800-63-3)
M1027,Password Policies,Mitigation,MITIGATES,T1003.005,Cached Domain Credentials,Technique,"Ensure that local administrator accounts have complex, unique passwords across all systems on the network."
M1027,Password Policies,Mitigation,MITIGATES,T1078.004,Cloud Accounts,Technique,"Ensure that cloud accounts, particularly privileged accounts, have complex, unique passwords across all systems on the network. Passwords and access keys should be rotated regularly. This limits the amount of time credentials can be used to access resources if a credential is compromised without your knowledge. Cloud service providers may track access key age to help audit and identify keys that may need to be rotated.(Citation: AWS - IAM Console Best Practices)"
M1027,Password Policies,Mitigation,MITIGATES,T1110.004,Credential Stuffing,Technique,Refer to NIST guidelines when creating password policies. (Citation: NIST 800-63-3)
M1027,Password Policies,Mitigation,MITIGATES,T1552.001,Credentials In Files,Technique,Establish an organizational policy that prohibits password storage in files.
M1027,Password Policies,Mitigation,MITIGATES,T1555,Credentials from Password Stores,Technique,"The password for the user's login keychain can be changed from the user's login password. This increases the complexity for an adversary because they need to know an additional password.

Organizations may consider weighing the risk of storing credentials in password stores and web browsers. If system, software, or web browser credential disclosure is a significant concern, technical controls, policy, and user training may be used to prevent storage of credentials in improper locations."
M1027,Password Policies,Mitigation,MITIGATES,T1555.003,Credentials from Web Browsers,Technique,"Organizations may consider weighing the risk of storing credentials in web browsers. If web browser credential disclosure is a significant concern, technical controls, policy, and user training may be used to prevent storage of credentials in web browsers."
M1027,Password Policies,Mitigation,MITIGATES,T1552.002,Credentials in Registry,Technique,Do not store credentials within the Registry.
M1027,Password Policies,Mitigation,MITIGATES,T1003.006,DCSync,Technique,"Ensure that local administrator accounts have complex, unique passwords across all systems on the network."
M1027,Password Policies,Mitigation,MITIGATES,T1078.001,Default Accounts,Technique,"Applications and appliances that utilize default username and password should be changed immediately after the installation, and before deployment to a production environment. (Citation: US-CERT Alert TA13-175A Risks of Default Passwords on the Internet)"
M1027,Password Policies,Mitigation,MITIGATES,T1601.002,Downgrade System Image,Technique,Refer to NIST guidelines when creating password policies.  (Citation: NIST 800-63-3)
M1027,Password Policies,Mitigation,MITIGATES,T1187,Forced Authentication,Technique,Use strong passwords to increase the difficulty of credential hashes from being cracked if they are obtained.
M1027,Password Policies,Mitigation,MITIGATES,T1558.003,Kerberoasting,Technique,Ensure strong password length (ideally 25+ characters) and complexity for service accounts and that these passwords periodically expire.(Citation: AdSecurity Cracking Kerberos Dec 2015) Also consider using Group Managed Service Accounts or another third party product such as password vaulting.(Citation: AdSecurity Cracking Kerberos Dec 2015)
M1027,Password Policies,Mitigation,MITIGATES,T1555.001,Keychain,Technique,The password for the user's login keychain can be changed from the user's login password. This increases the complexity for an adversary because they need to know an additional password.
M1027,Password Policies,Mitigation,MITIGATES,T1003.004,LSA Secrets,Technique,"Ensure that local administrator accounts have complex, unique passwords across all systems on the network."
M1027,Password Policies,Mitigation,MITIGATES,T1003.001,LSASS Memory,Technique,"Ensure that local administrator accounts have complex, unique passwords across all systems on the network."
M1027,Password Policies,Mitigation,MITIGATES,T1078.003,Local Accounts,Technique,"Ensure that local administrator accounts have complex, unique passwords across all systems on the network."
M1027,Password Policies,Mitigation,MITIGATES,T1601,Modify System Image,Technique,Refer to NIST guidelines when creating password policies. (Citation: NIST 800-63-3)
M1027,Password Policies,Mitigation,MITIGATES,T1003.003,NTDS,Technique,"Ensure that local administrator accounts have complex, unique passwords across all systems on the network."
M1027,Password Policies,Mitigation,MITIGATES,T1599.001,Network Address Translation Traversal,Technique,Refer to NIST guidelines when creating password policies. (Citation: NIST 800-63-3)
M1027,Password Policies,Mitigation,MITIGATES,T1599,Network Boundary Bridging,Technique,Refer to NIST guidelines when creating password policies. (Citation: NIST 800-63-3)
M1027,Password Policies,Mitigation,MITIGATES,T1003,OS Credential Dumping,Technique,"Ensure that local administrator accounts have complex, unique passwords across all systems on the network."
M1027,Password Policies,Mitigation,MITIGATES,T1550.003,Pass the Ticket,Technique,"Ensure that local administrator accounts have complex, unique passwords."
M1027,Password Policies,Mitigation,MITIGATES,T1110.002,Password Cracking,Technique,Refer to NIST guidelines when creating password policies. (Citation: NIST 800-63-3)
M1027,Password Policies,Mitigation,MITIGATES,T1110.001,Password Guessing,Technique,Refer to NIST guidelines when creating password policies. (Citation: NIST 800-63-3)
M1027,Password Policies,Mitigation,MITIGATES,T1555.005,Password Managers,Technique,Refer to NIST guidelines when creating password policies for master passwords.(Citation: NIST 800-63-3)
M1027,Password Policies,Mitigation,MITIGATES,T1201,Password Policy Discovery,Technique,Ensure only valid password filters are registered. Filter DLLs must be present in Windows installation directory (<code>C:\Windows\System32\</code> by default) of a domain controller and/or local computer with a corresponding entry in <code>HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\Notification Packages</code>. (Citation: Microsoft Install Password Filter n.d)
M1027,Password Policies,Mitigation,MITIGATES,T1110.003,Password Spraying,Technique,Refer to NIST guidelines when creating password policies. (Citation: NIST 800-63-3)
M1027,Password Policies,Mitigation,MITIGATES,T1601.001,Patch System Image,Technique,Refer to NIST guidelines when creating password policies.  (Citation: NIST 800-63-3)
M1027,Password Policies,Mitigation,MITIGATES,T1552.004,Private Keys,Technique,Use strong passphrases for private keys to make cracking difficult.
M1027,Password Policies,Mitigation,MITIGATES,T1003.007,Proc Filesystem,Technique,"Ensure that root accounts have complex, unique passwords across all systems on the network."
M1027,Password Policies,Mitigation,MITIGATES,T1021.002,SMB/Windows Admin Shares,Technique,Do not reuse local administrator account passwords across systems. Ensure password complexity and uniqueness such that the passwords cannot be cracked or guessed.
M1027,Password Policies,Mitigation,MITIGATES,T1563.001,SSH Hijacking,Technique,Ensure SSH key pairs have strong passwords and refrain from using key-store technologies such as ssh-agent unless they are properly protected.
M1027,Password Policies,Mitigation,MITIGATES,T1003.002,Security Account Manager,Technique,"Ensure that local administrator accounts have complex, unique passwords across all systems on the network."
M1027,Password Policies,Mitigation,MITIGATES,T1558.002,Silver Ticket,Technique,Ensure strong password length (ideally 25+ characters) and complexity for service accounts and that these passwords periodically expire.(Citation: AdSecurity Cracking Kerberos Dec 2015) Also consider using Group Managed Service Accounts or another third party product such as password vaulting.(Citation: AdSecurity Cracking Kerberos Dec 2015)
M1027,Password Policies,Mitigation,MITIGATES,T1072,Software Deployment Tools,Technique,Verify that account credentials that may be used to access deployment systems are unique and not used throughout the enterprise network.
M1027,Password Policies,Mitigation,MITIGATES,T1558,Steal or Forge Kerberos Tickets,Technique,Ensure strong password length (ideally 25+ characters) and complexity for service accounts and that these passwords periodically expire.(Citation: AdSecurity Cracking Kerberos Dec 2015) Also consider using Group Managed Service Accounts or another third party product such as password vaulting.(Citation: AdSecurity Cracking Kerberos Dec 2015)
M1027,Password Policies,Mitigation,MITIGATES,T1537,Transfer Data to Cloud Account,Technique,Consider rotating access keys within a certain number of days to reduce the effectiveness of stolen credentials.
M1027,Password Policies,Mitigation,MITIGATES,T1552,Unsecured Credentials,Technique,Use strong passphrases for private keys to make cracking difficult. Do not store credentials within the Registry. Establish an organizational policy that prohibits password storage in files.
M1027,Password Policies,Mitigation,MITIGATES,T1078,Valid Accounts,Technique,"Applications and appliances that utilize default username and password should be changed immediately after the installation, and before deployment to a production environment. (Citation: US-CERT Alert TA13-175A Risks of Default Passwords on the Internet) When possible, applications that use SSH keys should be updated periodically and properly secured."
M1056,Pre-compromise,Mitigation,MITIGATES,T1583,Acquire Infrastructure,Technique,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.
M1056,Pre-compromise,Mitigation,MITIGATES,T1595,Active Scanning,Technique,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls. Efforts should focus on minimizing the amount and sensitivity of data available to external parties.
M1056,Pre-compromise,Mitigation,MITIGATES,T1583.005,Botnet,Technique,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.
M1056,Pre-compromise,Mitigation,MITIGATES,T1584.005,Botnet,Technique,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.
M1056,Pre-compromise,Mitigation,MITIGATES,T1591.002,Business Relationships,Technique,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls. Efforts should focus on minimizing the amount and sensitivity of data available to external parties.
M1056,Pre-compromise,Mitigation,MITIGATES,T1596.004,CDNs,Technique,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls. Efforts should focus on minimizing the amount and sensitivity of data available to external parties.
M1056,Pre-compromise,Mitigation,MITIGATES,T1592.004,Client Configurations,Technique,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls. Efforts should focus on minimizing the amount and sensitivity of data available to external parties.
M1056,Pre-compromise,Mitigation,MITIGATES,T1587.002,Code Signing Certificates,Technique,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.
M1056,Pre-compromise,Mitigation,MITIGATES,T1588.003,Code Signing Certificates,Technique,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.
M1056,Pre-compromise,Mitigation,MITIGATES,T1586,Compromise Accounts,Technique,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.
