ID,name,description,url,created,last modified,version,platforms,aliases,type,contributors
S0363,Empire,"[Empire](https://attack.mitre.org/software/S0363) is an open source, cross-platform remote administration and post-exploitation framework that is publicly available on GitHub. While the tool itself is primarily written in Python, the post-exploitation agents are written in pure [PowerShell](https://attack.mitre.org/techniques/T1059/001) for Windows and Python for Linux/macOS. [Empire](https://attack.mitre.org/software/S0363) was one of five tools singled out by a joint report on public hacking tools being widely used by adversaries.(Citation: NCSC Joint Report Public Tools)(Citation: Github PowerShell Empire)(Citation: GitHub ATTACK Empire)",https://attack.mitre.org/software/S0363,11-Mar-19,9-Apr-21,1.2,"Linux, Windows, macOS","EmPyre, PowerShell Empire",Tool,
S0091,Epic,[Epic](https://attack.mitre.org/software/S0091) is a backdoor that has been used by [Turla](https://attack.mitre.org/groups/G0010). (Citation: Kaspersky Turla),https://attack.mitre.org/software/S0091,31-May-17,26-Oct-20,1.3,Windows,"TadjMakhal, Tavdig, Wipbot, WorldCupSec",Malware,"Martin Smolár, ESET"
S0396,EvilBunny,[EvilBunny](https://attack.mitre.org/software/S0396) is a C++ malware sample observed since 2011 that was designed to be a execution platform for Lua scripts.(Citation: Cyphort EvilBunny Dec 2014),https://attack.mitre.org/software/S0396,28-Jun-19,2-Apr-21,1.2,Windows,,Malware,ESET
S0152,EvilGrab,[EvilGrab](https://attack.mitre.org/software/S0152) is a malware family with common reconnaissance capabilities. It has been deployed by [menuPass](https://attack.mitre.org/groups/G0045) via malicious Microsoft Office documents as part of spearphishing campaigns. (Citation: PWC Cloud Hopper Technical Annex April 2017),https://attack.mitre.org/software/S0152,14-Dec-17,30-Mar-20,1.1,Windows,,Malware,
S0401,Exaramel for Linux,[Exaramel for Linux](https://attack.mitre.org/software/S0401) is a backdoor written in the Go Programming Language and compiled as a 64-bit ELF binary. The Windows version is tracked separately under [Exaramel for Windows](https://attack.mitre.org/software/S0343).(Citation: ESET TeleBots Oct 2018),https://attack.mitre.org/software/S0401,26-Aug-19,14-Apr-21,1.2,Linux,,Malware,
S0343,Exaramel for Windows,[Exaramel for Windows](https://attack.mitre.org/software/S0343) is a backdoor used for targeting Windows systems. The Linux version is tracked separately under [Exaramel for Linux](https://attack.mitre.org/software/S0401).(Citation: ESET TeleBots Oct 2018),https://attack.mitre.org/software/S0343,30-Jan-19,17-Jun-20,2.1,Windows,,Malware,
S0361,Expand,[Expand](https://attack.mitre.org/software/S0361) is a Windows utility used to expand one or more compressed CAB files.(Citation: Microsoft Expand Utility) It has been used by [BBSRAT](https://attack.mitre.org/software/S0127) to decompress a CAB file into executable content.(Citation: Palo Alto Networks BBSRAT),https://attack.mitre.org/software/S0361,19-Feb-19,20-Mar-20,1.1,Windows,,Tool,"Matthew Demaske, Adaptforward"
S0569,Explosive,[Explosive](https://attack.mitre.org/software/S0569) is a custom-made remote access tool used by the group [Volatile Cedar](https://attack.mitre.org/groups/G0123). It was first identified in the wild in 2015.(Citation: CheckPoint Volatile Cedar March 2015)(Citation: ClearSky Lebanese Cedar Jan 2021)  ,https://attack.mitre.org/software/S0569,8-Feb-21,27-Apr-21,1,Windows,,Malware,
S0181,FALLCHILL,"[FALLCHILL](https://attack.mitre.org/software/S0181) is a RAT that has been used by [Lazarus Group](https://attack.mitre.org/groups/G0032) since at least 2016 to target the aerospace, telecommunications, and finance industries. It is usually dropped by other [Lazarus Group](https://attack.mitre.org/groups/G0032) malware or delivered when a victim unknowingly visits a compromised website. (Citation: US-CERT FALLCHILL Nov 2017)",https://attack.mitre.org/software/S0181,16-Jan-18,23-Apr-21,1.2,Windows,,Malware,
S0267,FELIXROOT,[FELIXROOT](https://attack.mitre.org/software/S0267) is a backdoor that has been used to target Ukrainian victims. (Citation: FireEye FELIXROOT July 2018),https://attack.mitre.org/software/S0267,17-Oct-18,30-Mar-20,2.1,Windows,GreyEnergy mini,Malware,
S0036,FLASHFLOOD,[FLASHFLOOD](https://attack.mitre.org/software/S0036) is malware developed by [APT30](https://attack.mitre.org/groups/G0013) that allows propagation and exfiltration of data over removable devices. [APT30](https://attack.mitre.org/groups/G0013) may use this capability to exfiltrate data across air-gaps. (Citation: FireEye APT30),https://attack.mitre.org/software/S0036,31-May-17,30-Mar-20,1.1,Windows,,Malware,
S0173,FLIPSIDE,[FLIPSIDE](https://attack.mitre.org/software/S0173) is a simple tool similar to Plink that is used by [FIN5](https://attack.mitre.org/groups/G0053) to maintain access to victims. (Citation: Mandiant FIN5 GrrCON Oct 2016),https://attack.mitre.org/software/S0173,16-Jan-18,30-Mar-20,1.1,Windows,,Malware,
S0095,FTP,[FTP](https://attack.mitre.org/software/S0095) is a utility commonly available with operating systems to transfer information over the File Transfer Protocol (FTP). Adversaries can use it to transfer other tools onto a system or to exfiltrate data. (Citation: Wikipedia FTP),https://attack.mitre.org/software/S0095,31-May-17,30-Mar-20,1.1,"Linux, Windows, macOS",ftp.exe,Tool,
S0076,FakeM,[FakeM](https://attack.mitre.org/software/S0076) is a shellcode-based Windows backdoor that has been used by [Scarlet Mimic](https://attack.mitre.org/groups/G0029). (Citation: Scarlet Mimic Jan 2016),https://attack.mitre.org/software/S0076,31-May-17,27-Mar-20,1.1,Windows,,Malware,
S0512,FatDuke,[FatDuke](https://attack.mitre.org/software/S0512) is a backdoor used by [APT29](https://attack.mitre.org/groups/G0016) since at least 2016.(Citation: ESET Dukes October 2019),https://attack.mitre.org/software/S0512,24-Sep-20,9-Oct-20,1,Windows,,Malware,
S0171,Felismus,[Felismus](https://attack.mitre.org/software/S0171) is a modular backdoor that has been used by [Sowbug](https://attack.mitre.org/groups/G0054). (Citation: Symantec Sowbug Nov 2017) (Citation: Forcepoint Felismus Mar 2017),https://attack.mitre.org/software/S0171,16-Jan-18,30-Mar-20,1.1,Windows,,Malware,
S0120,Fgdump,[Fgdump](https://attack.mitre.org/software/S0120) is a Windows password hash dumper. (Citation: Mandiant APT1),https://attack.mitre.org/software/S0120,31-May-17,30-Mar-20,1.1,Windows,,Tool,
S0182,FinFisher,[FinFisher](https://attack.mitre.org/software/S0182) is a government-grade commercial surveillance spyware reportedly sold exclusively to government agencies for use in targeted and lawful criminal investigations. It is heavily obfuscated and uses multiple anti-analysis techniques. It has other variants including [Wingbird](https://attack.mitre.org/software/S0176). (Citation: FinFisher Citation) (Citation: Microsoft SIR Vol 21) (Citation: FireEye FinSpy Sept 2017) (Citation: Securelist BlackOasis Oct 2017) (Citation: Microsoft FinFisher March 2018),https://attack.mitre.org/software/S0182,16-Jan-18,30-Mar-20,1.3,"Android, Windows",FinSpy,Malware,
S0355,Final1stspy,[Final1stspy](https://attack.mitre.org/software/S0355) is a dropper family that has been used to deliver [DOGCALL](https://attack.mitre.org/software/S0213).(Citation: Unit 42 Nokki Oct 2018),https://attack.mitre.org/software/S0355,31-Jan-19,30-Mar-20,1.1,Windows,,Malware,
S0143,Flame,"Flame is a sophisticated toolkit that has been used to collect information since at least 2010, largely targeting Middle East countries. (Citation: Kaspersky Flame)",https://attack.mitre.org/software/S0143,31-May-17,30-Mar-20,1.1,Windows,"Flamer, sKyWIper",Malware,
S0381,FlawedAmmyy,"[FlawedAmmyy](https://attack.mitre.org/software/S0381) is a remote access tool (RAT) that was first seen in early 2016. The code for [FlawedAmmyy](https://attack.mitre.org/software/S0381) was based on leaked source code for a version of Ammyy Admin, a remote access software.(Citation: Proofpoint TA505 Mar 2018)",https://attack.mitre.org/software/S0381,28-May-19,20-Mar-20,1.1,Windows,,Malware,
S0383,FlawedGrace,[FlawedGrace](https://attack.mitre.org/software/S0383) is a fully featured remote access tool (RAT) written in C++ that was first observed in late 2017.(Citation: Proofpoint TA505 Jan 2019),https://attack.mitre.org/software/S0383,29-May-19,7-Jun-19,1,Windows,,Malware,
S0193,Forfiles,"[Forfiles](https://attack.mitre.org/software/S0193) is a Windows utility commonly used in batch jobs to execute commands on one or more selected files or directories (ex: list all directories in a drive, read the first line of all files created yesterday, etc.). Forfiles can be executed from either the command line, Run window, or batch files/scripts. (Citation: Microsoft Forfiles Aug 2016)",https://attack.mitre.org/software/S0193,18-Apr-18,17-Oct-18,1,Windows,,Tool,"Matthew Demaske, Adaptforward"
S0503,FrameworkPOS,[FrameworkPOS](https://attack.mitre.org/software/S0503) is a point of sale (POS) malware used by [FIN6](https://attack.mitre.org/groups/G0037) to steal payment card data from sytems that run physical POS devices.(Citation: SentinelOne FrameworkPOS September 2019),https://attack.mitre.org/software/S0503,8-Sep-20,19-Oct-20,1,,Trinity,Malware,Center for Threat-Informed Defense (CTID)
S0277,FruitFly,FruitFly is designed to spy on mac users  (Citation: objsee mac malware 2017).,https://attack.mitre.org/software/S0277,17-Oct-18,30-Mar-20,1.1,macOS,,Malware,
S0410,Fysbis,[Fysbis](https://attack.mitre.org/software/S0410) is a Linux-based backdoor used by [APT28](https://attack.mitre.org/groups/G0007) that dates back to at least 2014.(Citation: Fysbis Palo Alto Analysis),https://attack.mitre.org/software/S0410,12-Sep-19,6-Nov-20,1.2,Linux,,Malware,
S0026,GLOOXMAIL,[GLOOXMAIL](https://attack.mitre.org/software/S0026) is malware used by [APT1](https://attack.mitre.org/groups/G0006) that mimics legitimate Jabber/XMPP traffic. (Citation: Mandiant APT1),https://attack.mitre.org/software/S0026,31-May-17,30-Mar-20,1.1,Windows,Trojan.GTALK,Malware,
S0417,GRIFFON,[GRIFFON](https://attack.mitre.org/software/S0417) is a JavaScript backdoor used by [FIN7](https://attack.mitre.org/groups/G0046). (Citation: SecureList Griffon May 2019),https://attack.mitre.org/software/S0417,11-Oct-19,23-Jun-20,1.1,Windows,,Malware,
S0168,Gazer,[Gazer](https://attack.mitre.org/software/S0168) is a backdoor used by [Turla](https://attack.mitre.org/groups/G0010) since at least 2016. (Citation: ESET Gazer Aug 2017),https://attack.mitre.org/software/S0168,16-Jan-18,4-Dec-20,1.2,Windows,WhiteBear,Malware,Bartosz Jerzman
S0049,GeminiDuke,[GeminiDuke](https://attack.mitre.org/software/S0049) is malware that was used by [APT29](https://attack.mitre.org/groups/G0016) from 2009 to 2012. (Citation: F-Secure The Dukes),https://attack.mitre.org/software/S0049,31-May-17,30-Mar-20,1.1,Windows,,Malware,
S0460,Get2,"[Get2](https://attack.mitre.org/software/S0460) is a downloader written in C++ that has been used by [TA505](https://attack.mitre.org/groups/G0092) to deliver [FlawedGrace](https://attack.mitre.org/software/S0383), [FlawedAmmyy](https://attack.mitre.org/software/S0381), Snatch and [SDBbot](https://attack.mitre.org/software/S0461).(Citation: Proofpoint TA505 October 2019)",https://attack.mitre.org/software/S0460,29-May-20,16-Jun-20,1,Windows,,Malware,
S0249,Gold Dragon,"[Gold Dragon](https://attack.mitre.org/software/S0249) is a Korean-language, data gathering implant that was first observed in the wild in South Korea in July 2017. [Gold Dragon](https://attack.mitre.org/software/S0249) was used along with [Brave Prince](https://attack.mitre.org/software/S0252) and [RunningRAT](https://attack.mitre.org/software/S0253) in operations targeting organizations associated with the 2018 Pyeongchang Winter Olympics. (Citation: McAfee Gold Dragon)",https://attack.mitre.org/software/S0249,17-Oct-18,21-Apr-20,1.1,Windows,,Malware,
S0597,GoldFinder,"[GoldFinder](https://attack.mitre.org/software/S0597) is a custom HTTP tracer tool written in Go that logs the route a packet takes between a compromised network and a C2 server. It can be used to inform  threat actors of potential points of discovery or logging of their actions, including C2 related to other malware. [GoldFinder](https://attack.mitre.org/software/S0597) was discovered in early 2021 during an investigation into the SolarWinds cyber intrusion by [APT29](https://attack.mitre.org/groups/G0016).(Citation: MSTIC NOBELIUM Mar 2021)",https://attack.mitre.org/software/S0597,26-Mar-21,24-Apr-21,1,Windows,,Malware,
S0588,GoldMax,"[GoldMax](https://attack.mitre.org/software/S0588) is a second-stage C2 backdoor written in Go that was used by [APT29](https://attack.mitre.org/groups/G0016) and discovered in early 2021 during the investigation into breaches related to the SolarWinds intrusion. [GoldMax](https://attack.mitre.org/software/S0588) uses multiple defense evasion techniques, including avoiding virtualization execution and masking malicious traffic.(Citation: MSTIC NOBELIUM Mar 2021)(Citation: FireEye SUNSHUTTLE Mar 2021)",https://attack.mitre.org/software/S0588,12-Mar-21,26-Apr-21,1,Windows,SUNSHUTTLE,Malware,
S0493,GoldenSpy,"[GoldenSpy](https://attack.mitre.org/software/S0493) is a backdoor malware which has been packaged with legitimate tax preparation software. [GoldenSpy](https://attack.mitre.org/software/S0493) was discovered targeting organizations in China, being delivered with the ""Intelligent Tax"" software suite which is produced by the Golden Tax Department of Aisino Credit Information Co. and required to pay local taxes.(Citation: Trustwave GoldenSpy June 2020) ",https://attack.mitre.org/software/S0493,23-Jul-20,19-Aug-20,1,Windows,,Malware,
S0477,Goopy,[Goopy](https://attack.mitre.org/software/S0477) is a Windows backdoor and Trojan used by [APT32](https://attack.mitre.org/groups/G0050) and shares several similarities to another backdoor used by the group ([Denis](https://attack.mitre.org/software/S0354)). [Goopy](https://attack.mitre.org/software/S0477) is named for its impersonation of the legitimate Google Updater executable.(Citation: Cybereason Cobalt Kitty 2017),https://attack.mitre.org/software/S0477,19-Jun-20,29-Jun-20,1,Windows,,Malware,
S0531,Grandoreiro,"[Grandoreiro](https://attack.mitre.org/software/S0531) is a banking trojan written in Delphi that was first observed in 2016 and uses a Malware-as-a-Service (MaaS) business model. [Grandoreiro](https://attack.mitre.org/software/S0531) has confirmed victims in Brazil, Mexico, Portugal, and Spain.(Citation: Securelist Brazilian Banking Malware July 2020)(Citation: ESET Grandoreiro April 2020)",https://attack.mitre.org/software/S0531,10-Nov-20,22-Dec-20,1,Windows,,Malware,
S0237,GravityRAT,"[GravityRAT](https://attack.mitre.org/software/S0237) is a remote access tool (RAT) and has been in ongoing development since 2016. The actor behind the tool remains unknown, but two usernames have been recovered that link to the author, which are ""TheMartian"" and ""The Invincible."" According to the National Computer Emergency Response Team (CERT) of India, the malware has been identified in attacks against organization and entities in India. (Citation: Talos GravityRAT)",https://attack.mitre.org/software/S0237,17-Oct-18,30-Mar-20,1.2,Windows,,Malware,
S0342,GreyEnergy,[GreyEnergy](https://attack.mitre.org/software/S0342) is a backdoor written in C and compiled in Visual Studio. [GreyEnergy](https://attack.mitre.org/software/S0342) shares similarities with the [BlackEnergy](https://attack.mitre.org/software/S0089) malware and is thought to be the successor of it.(Citation: ESET GreyEnergy Oct 2018),https://attack.mitre.org/software/S0342,30-Jan-19,30-Mar-20,1.1,Windows,,Malware,
S0561,GuLoader,"[GuLoader](https://attack.mitre.org/software/S0561) is a file downloader that has been used since at least December 2019 to distribute a variety of remote administration tool (RAT) malware, including [NETWIRE](https://attack.mitre.org/software/S0198).(Citation: Unit 42 NETWIRE April 2020)",https://attack.mitre.org/software/S0561,11-Jan-21,20-Apr-21,1,Windows,,Malware,
S0132,H1N1,"[H1N1](https://attack.mitre.org/software/S0132) is a malware variant that has been distributed via a campaign using VBA macros to infect victims. Although it initially had only loader capabilities, it has evolved to include information-stealing functionality. (Citation: Cisco H1N1 Part 1)",https://attack.mitre.org/software/S0132,31-May-17,30-Mar-20,1.2,Windows,,Malware,
S0151,HALFBAKED,[HALFBAKED](https://attack.mitre.org/software/S0151) is a malware family consisting of multiple components intended to establish persistence in victim networks. (Citation: FireEye FIN7 April 2017),https://attack.mitre.org/software/S0151,14-Dec-17,17-Oct-18,1,Windows,,Malware,
S0037,HAMMERTOSS,[HAMMERTOSS](https://attack.mitre.org/software/S0037) is a backdoor that was used by [APT29](https://attack.mitre.org/groups/G0016) in 2015. (Citation: FireEye APT29) (Citation: F-Secure The Dukes),https://attack.mitre.org/software/S0037,31-May-17,9-Feb-21,1.2,Windows,"HammerDuke, NetDuke",Malware,
S0214,HAPPYWORK,[HAPPYWORK](https://attack.mitre.org/software/S0214) is a downloader used by [APT37](https://attack.mitre.org/groups/G0067) to target South Korean government and financial victims in November 2016. (Citation: FireEye APT37 Feb 2018),https://attack.mitre.org/software/S0214,18-Apr-18,17-Oct-18,1,Windows,,Malware,
S0246,HARDRAIN,[HARDRAIN](https://attack.mitre.org/software/S0246) is a Trojan malware variant reportedly used by the North Korean government. (Citation: US-CERT HARDRAIN March 2018),https://attack.mitre.org/software/S0246,17-Oct-18,30-Mar-20,1.1,Windows,,Malware,
S0391,HAWKBALL,[HAWKBALL](https://attack.mitre.org/software/S0391) is a backdoor that was observed in targeting of the government sector in Central Asia.(Citation: FireEye HAWKBALL Jun 2019),https://attack.mitre.org/software/S0391,20-Jun-19,30-Mar-20,1.1,Windows,,Malware,
S0061,HDoor,[HDoor](https://attack.mitre.org/software/S0061) is malware that has been customized and used by the [Naikon](https://attack.mitre.org/groups/G0019) group. (Citation: Baumgartner Naikon 2015),https://attack.mitre.org/software/S0061,31-May-17,25-Apr-19,1,Windows,Custom HDoor,Malware,
S0135,HIDEDRV,[HIDEDRV](https://attack.mitre.org/software/S0135) is a rootkit used by [APT28](https://attack.mitre.org/groups/G0007). It has been deployed along with [Downdelph](https://attack.mitre.org/software/S0134) to execute and hide that malware. (Citation: ESET Sednit Part 3) (Citation: Sekoia HideDRV Oct 2016),https://attack.mitre.org/software/S0135,31-May-17,30-Mar-20,1.1,Windows,,Malware,
S0232,HOMEFRY,[HOMEFRY](https://attack.mitre.org/software/S0232) is a 64-bit Windows password dumper/cracker that has previously been used in conjunction with other [Leviathan](https://attack.mitre.org/groups/G0065) backdoors. (Citation: FireEye Periscope March 2018),https://attack.mitre.org/software/S0232,18-Apr-18,30-Mar-20,1.1,Windows,,Malware,
S0376,HOPLIGHT,[HOPLIGHT](https://attack.mitre.org/software/S0376) is a backdoor Trojan that has reportedly been used by the North Korean government.(Citation: US-CERT HOPLIGHT Apr 2019),https://attack.mitre.org/software/S0376,19-Apr-19,30-Mar-20,1.1,Windows,,Malware,
S0040,HTRAN,[HTRAN](https://attack.mitre.org/software/S0040) is a tool that proxies connections through intermediate hops and aids users in disguising their true geographical location. It can be used by adversaries to hide their location when interacting with the victim networks. (Citation: Operation Quantum Entanglement)(Citation: NCSC Joint Report Public Tools),https://attack.mitre.org/software/S0040,31-May-17,23-Apr-21,1.2,"Linux, Windows",HUC Packet Transmit Tool,Tool,
S0070,HTTPBrowser,[HTTPBrowser](https://attack.mitre.org/software/S0070) is malware that has been used by several threat groups. (Citation: ThreatStream Evasion Analysis) (Citation: Dell TG-3390) It is believed to be of Chinese origin. (Citation: ThreatConnect Anthem),https://attack.mitre.org/software/S0070,31-May-17,20-Mar-20,1.1,Windows,"HttpDump, Token Control",Malware,
S0047,Hacking Team UEFI Rootkit,[Hacking Team UEFI Rootkit](https://attack.mitre.org/software/S0047) is a rootkit developed by the company Hacking Team as a method of persistence for remote access software. (Citation: TrendMicro Hacking Team UEFI),https://attack.mitre.org/software/S0047,31-May-17,30-Mar-20,1.1,,,Malware,
S0499,Hancitor,[Hancitor](https://attack.mitre.org/software/S0499) is a downloader that has been used by [Pony](https://attack.mitre.org/software/S0453) and other information stealing malware.(Citation: Threatpost Hancitor)(Citation: FireEye Hancitor),https://attack.mitre.org/software/S0499,12-Aug-20,16-Oct-20,1,Windows,Chanitor,Malware,
S0224,Havij,[Havij](https://attack.mitre.org/software/S0224) is an automatic SQL Injection tool distributed by the Iranian ITSecTeam security company. Havij has been used by penetration testers and adversaries. (Citation: Check Point Havij Analysis),https://attack.mitre.org/software/S0224,18-Apr-18,17-Oct-18,1,"Linux, Windows, macOS",,Tool,
S0170,Helminth,"[Helminth](https://attack.mitre.org/software/S0170) is a backdoor that has at least two variants - one written in VBScript and PowerShell that is delivered via a macros in Excel spreadsheets, and one that is a standalone Windows executable. (Citation: Palo Alto OilRig May 2016)",https://attack.mitre.org/software/S0170,16-Jan-18,28-Mar-20,1.1,Windows,,Malware,Robert Falcone
S0087,Hi-Zor,[Hi-Zor](https://attack.mitre.org/software/S0087) is a remote access tool (RAT) that has characteristics similar to [Sakula](https://attack.mitre.org/software/S0074). It was used in a campaign named INOCNATION. (Citation: Fidelis Hi-Zor),https://attack.mitre.org/software/S0087,31-May-17,9-Feb-21,1.1,Windows,,Malware,
S0394,HiddenWasp,[HiddenWasp](https://attack.mitre.org/software/S0394) is a Linux-based Trojan used to target systems for remote control. It comes in the form of a statically linked ELF binary with stdlibc++.(Citation: Intezer HiddenWasp Map 2019),https://attack.mitre.org/software/S0394,24-Jun-19,23-Apr-21,1.2,Linux,,Malware,
S0009,Hikit,[Hikit](https://attack.mitre.org/software/S0009) is malware that has been used by [Axiom](https://attack.mitre.org/groups/G0001) for late-stage persistence and exfiltration after the initial compromise.(Citation: Novetta-Axiom)(Citation: FireEye Hikit Rootkit),https://attack.mitre.org/software/S0009,31-May-17,23-Apr-21,1.2,Windows,,Malware,"Christopher Glyer, FireEye, @cglyer"
S0601,Hildegard,[Hildegard](https://attack.mitre.org/software/S0601) is malware that targets misconfigured kubelets for initial access and runs cryptocurrency miner operations. The malware was first observed in January 2021. The TeamTNT activity group is believed to be behind [Hildegard](https://attack.mitre.org/software/S0601). (Citation: Unit 42 Hildegard Malware),https://attack.mitre.org/software/S0601,7-Apr-21,12-Apr-21,1,"Containers, IaaS, Linux",,Malware,Center for Threat-Informed Defense (CTID)
S0431,HotCroissant,"[HotCroissant](https://attack.mitre.org/software/S0431) is a remote access trojan (RAT) attributed by U.S. government entities to malicious North Korean government cyber activity, tracked collectively as HIDDEN COBRA.(Citation: US-CERT HOTCROISSANT February 2020) [HotCroissant](https://attack.mitre.org/software/S0431) shares numerous code similarities with [Rifdoor](https://attack.mitre.org/software/S0433).(Citation: Carbon Black HotCroissant April 2020)",https://attack.mitre.org/software/S0431,1-May-20,6-May-20,1,Windows,,Malware,
S0203,Hydraq,"[Hydraq](https://attack.mitre.org/software/S0203) is a data-theft trojan first used by [Elderwood](https://attack.mitre.org/groups/G0066) in the 2009 Google intrusion known as Operation Aurora, though variations of this trojan have been used in more recent campaigns by other Chinese actors, possibly including [APT17](https://attack.mitre.org/groups/G0025). (Citation: MicroFocus 9002 Aug 2016) (Citation: Symantec Elderwood Sept 2012) (Citation: Symantec Trojan.Hydraq Jan 2010) (Citation: ASERT Seven Pointed Dagger Aug 2015) (Citation: FireEye DeputyDog 9002 November 2013) (Citation: ProofPoint GoT 9002 Aug 2017) (Citation: FireEye Sunshop Campaign May 2013) (Citation: PaloAlto 3102 Sept 2015)",https://attack.mitre.org/software/S0203,18-Apr-18,6-Jan-21,1.1,Windows,"9002 RAT, Aurora",Malware,
S0398,HyperBro,[HyperBro](https://attack.mitre.org/software/S0398) is a custom in-memory backdoor used by [Threat Group-3390](https://attack.mitre.org/groups/G0027).(Citation: Unit42 Emissary Panda May 2019)(Citation: Securelist LuckyMouse June 2018)(Citation: Hacker News LuckyMouse June 2018),https://attack.mitre.org/software/S0398,9-Jul-19,23-Jun-20,1.1,Windows,,Malware,
S0537,HyperStack,[HyperStack](https://attack.mitre.org/software/S0537) is a RPC-based backdoor used by [Turla](https://attack.mitre.org/groups/G0010) since at least 2018. [HyperStack](https://attack.mitre.org/software/S0537) has similarities to other backdoors used by [Turla](https://attack.mitre.org/groups/G0010) including [Carbon](https://attack.mitre.org/software/S0335).(Citation: Accenture HyperStack October 2020),https://attack.mitre.org/software/S0537,2-Dec-20,4-Dec-20,1,Windows,,Malware,
S0189,ISMInjector,"[ISMInjector](https://attack.mitre.org/software/S0189) is a Trojan used to install another [OilRig](https://attack.mitre.org/groups/G0049) backdoor, ISMAgent. (Citation: OilRig New Delivery Oct 2017)",https://attack.mitre.org/software/S0189,16-Jan-18,31-Mar-20,1.1,Windows,,Malware,Robert Falcone
S0483,IcedID,[IcedID](https://attack.mitre.org/software/S0483) is a modular banking malware designed to steal financial information that has been observed in the wild since at least 2017.  [IcedID](https://attack.mitre.org/software/S0483)  has been downloaded by [Emotet](https://attack.mitre.org/software/S0367) in multiple campaigns.(Citation: IBM IcedID November 2017)(Citation: Juniper IcedID June 2020),https://attack.mitre.org/software/S0483,15-Jul-20,14-Aug-20,1,Windows,,Malware,
S0434,Imminent Monitor,"[Imminent Monitor](https://attack.mitre.org/software/S0434) was a commodity remote access tool (RAT) offered for sale from 2012 until 2019, when an operation was conducted to take down the Imminent Monitor infrastructure. Various cracked versions and variations of this RAT are still in circulation.(Citation: Imminent Unit42 Dec2019)",https://attack.mitre.org/software/S0434,5-May-20,10-Jul-20,1,Windows,,Tool,Jose Luis Sánchez Martinez
S0357,Impacket,"[Impacket](https://attack.mitre.org/software/S0357) is an open source collection of modules written in Python for programmatically constructing and manipulating network protocols. [Impacket](https://attack.mitre.org/software/S0357) contains several tools for remote service execution, Kerberos manipulation, Windows credential dumping, packet sniffing, and relay attacks.(Citation: Impacket Tools)",https://attack.mitre.org/software/S0357,31-Jan-19,31-Mar-20,1.1,"Linux, Windows, macOS",,Tool,"Jacob Wilkin, Trustwave, SpiderLabs"
S0259,InnaputRAT,[InnaputRAT](https://attack.mitre.org/software/S0259) is a remote access tool that can exfiltrate files from a victim’s machine. [InnaputRAT](https://attack.mitre.org/software/S0259) has been seen out in the wild since 2016. (Citation: ASERT InnaputRAT April 2018),https://attack.mitre.org/software/S0259,17-Oct-18,20-Mar-20,1.1,Windows,,Malware,
S0260,InvisiMole,[InvisiMole](https://attack.mitre.org/software/S0260) is a modular spyware program that has been used by the InvisiMole Group since at least 2013. [InvisiMole](https://attack.mitre.org/software/S0260) has two backdoor modules called RC2FM and RC2CL that are used to perform post-exploitation activities. It has been discovered on compromised victims in the Ukraine and Russia. [Gamaredon Group](https://attack.mitre.org/groups/G0047) infrastructure has been used to download and execute [InvisiMole](https://attack.mitre.org/software/S0260) against a small number of victims.(Citation: ESET InvisiMole June 2018)(Citation: ESET InvisiMole June 2020),https://attack.mitre.org/software/S0260,17-Oct-18,21-Oct-20,2,Windows,,Malware,ESET
S0231,Invoke-PSImage,"[Invoke-PSImage](https://attack.mitre.org/software/S0231) takes a PowerShell script and embeds the bytes of the script into the pixels of a PNG image. It generates a one liner for executing either from a file of from the web. Example of usage is embedding the PowerShell code from the Invoke-Mimikatz module and embed it into an image file. By calling the image file from a macro for example, the macro will download the picture and execute the PowerShell code, which in this case will dump the passwords. (Citation: GitHub Invoke-PSImage)",https://attack.mitre.org/software/S0231,18-Apr-18,17-Oct-18,1,Windows,,Tool,"Christiaan Beek, @ChristiaanBeek"
S0581,IronNetInjector,[IronNetInjector](https://attack.mitre.org/software/S0581) is a [Turla](https://attack.mitre.org/groups/G0010) toolchain that utilizes scripts from the open-source IronPython implementation of Python with a .NET injector to drop one or more payloads including [ComRAT](https://attack.mitre.org/software/S0126).(Citation: Unit 42 IronNetInjector February 2021 ),https://attack.mitre.org/software/S0581,24-Feb-21,13-Apr-21,1,Windows,,Tool,
S0015,Ixeshe,[Ixeshe](https://attack.mitre.org/software/S0015) is a malware family that has been used since at least 2009 against targets in East Asia. (Citation: Moran 2013),https://attack.mitre.org/software/S0015,31-May-17,20-Mar-20,1.2,Windows,,Malware,
S0389,JCry,[JCry](https://attack.mitre.org/software/S0389) is ransomware written in Go. It was identified as apart of the #OpJerusalem 2019 campaign.(Citation: Carbon Black JCry May 2019),https://attack.mitre.org/software/S0389,18-Jun-19,30-Mar-20,1.1,,,Malware,
S0044,JHUHUGIT,[JHUHUGIT](https://attack.mitre.org/software/S0044) is malware used by [APT28](https://attack.mitre.org/groups/G0007). It is based on Carberp source code and serves as reconnaissance malware. (Citation: Kaspersky Sofacy) (Citation: F-Secure Sofacy 2015) (Citation: ESET Sednit Part 1) (Citation: FireEye APT28 January 2017),https://attack.mitre.org/software/S0044,31-May-17,30-Mar-20,2.1,Windows,"GAMEFISH, JKEYSKW, Sednit, Seduploader, SofacyCarberp, Trojan.Sofacy",Malware,
